street,city,zip,state,beds,baths,sq__ft,type,sale_date,price,latitude,longitude
617 WILLOW CREEK DR,FOLSOM,95630,CA,3,2,1427,Residential,2008-05-19,236073,38.679626,-121.14260900000001
3301 PARK DR Unit 1914,SACRAMENTO,95835,CA,3,2,1678,Condo,2008-05-19,238000,38.665296000000005,-121.531993
709 CIMMARON CT,GALT,95632,CA,4,2,1798,Residential,2008-05-19,238861,38.277177,-121.303747
3305 RIO ROCA CT,ANTELOPE,95843,CA,4,3,2652,Residential,2008-05-19,239700,38.725079,-121.387698
9080 BEDROCK CT,SACRAMENTO,95829,CA,4,2,1816,Residential,2008-05-19,240000,38.456939,-121.36296499999999
100 TOURMALINE CIR,SACRAMENTO,95834,CA,5,3,3076,Residential,2008-05-19,240000,38.634370000000004,-121.510779
6411 RED BIRCH WAY,ELK GROVE,95758,CA,4,2,1844,Residential,2008-05-19,241000,38.43461,-121.42931599999999
4867 LAGUNA DR,SACRAMENTO,95823,CA,3,2,1306,Residential,2008-05-19,245000,38.46179,-121.445371
3662 RIVER DR,SACRAMENTO,95833,CA,4,3,2447,Residential,2008-05-19,246000,38.604969,-121.54255
6943 WOLFGRAM WAY,SACRAMENTO,95828,CA,4,2,1176,Residential,2008-05-19,247234,38.489215,-121.419546
77 RINETTI WAY,RIO LINDA,95673,CA,4,2,1182,Residential,2008-05-19,247480,38.687021,-121.463151
1316 I ST,RIO LINDA,95673,CA,3,1,1160,Residential,2008-05-19,249862,38.683673999999996,-121.435204
2130 CATHERWOOD WAY,SACRAMENTO,95835,CA,3,2,1424,Residential,2008-05-19,251000,38.675506,-121.51098700000001
8304 JUGLANS DR,ORANGEVALE,95662,CA,4,2,1574,Residential,2008-05-19,252155,38.691829,-121.24903300000001
5308 MARBURY WAY,ANTELOPE,95843,CA,3,2,1830,Residential,2008-05-19,254172,38.710221000000004,-121.341707
9182 LAKEMONT DR,ELK GROVE,95624,CA,4,2,1724,Residential,2008-05-19,258000,38.451353000000005,-121.358776
2231 COUNTRY VILLA CT,AUBURN,95603,CA,2,2,1255,Condo,2008-05-19,260000,38.931671,-121.097862
8491 CRYSTAL WALK CIR,ELK GROVE,95758,CA,0,0,0,Residential,2008-05-19,261000,38.416916,-121.407554
361 MAHONIA CIR,SACRAMENTO,95835,CA,4,3,2175,Residential,2008-05-19,261000,38.676171999999994,-121.50976100000001
3427 LA CADENA WAY,SACRAMENTO,95835,CA,4,2,1904,Residential,2008-05-19,261000,38.681194,-121.537351
955 BIG SUR CT,EL DORADO HILLS,95762,CA,4,2,1808,Residential,2008-05-19,262500,38.664347,-121.07652900000001
11826 DIONYSUS WAY,RANCHO CORDOVA,95742,CA,4,2,2711,Residential,2008-05-19,266000,38.551046,-121.239411
5847 DEL CAMPO LN,CARMICHAEL,95608,CA,3,1,1713,Residential,2008-05-19,266000,38.671995,-121.324339
5635 FOXVIEW WAY,ELK GROVE,95757,CA,3,2,1457,Residential,2008-05-19,270000,38.395255999999996,-121.438249
10372 VIA CINTA CT,ELK GROVE,95757,CA,4,3,2724,Residential,2008-05-19,274425,38.380089,-121.42818600000001
6286 LONETREE BLVD,ROCKLIN,95765,CA,0,0,0,Residential,2008-05-19,274500,38.805036,-121.293608
7744 SOUTHBREEZE DR,SACRAMENTO,95828,CA,3,2,1468,Residential,2008-05-19,275336,38.476932,-121.378349
2242 ABLE WAY,SACRAMENTO,95835,CA,4,3,2550,Residential,2008-05-19,277980,38.666074,-121.509743
1042 STARBROOK DR,GALT,95632,CA,4,2,1928,Residential,2008-05-19,280000,38.285610999999996,-121.29306299999999
1219 G ST,SACRAMENTO,95814,CA,3,3,1922,Residential,2008-05-19,284686,38.582817999999996,-121.48909599999999
6220 OPUS CT,CITRUS HEIGHTS,95621,CA,3,2,1343,Residential,2008-05-19,284893,38.715853,-121.317095
5419 HAVENHURST CIR,ROCKLIN,95677,CA,3,2,1510,Residential,2008-05-19,285000,38.786746,-121.209957
220 OLD AIRPORT RD,AUBURN,95603,CA,2,2,960,Multi-Family,2008-05-19,285000,38.939802,-121.054575
4622 MEYER WAY,CARMICHAEL,95608,CA,4,2,1559,Residential,2008-05-19,285000,38.64913,-121.310667
4885 SUMMIT VIEW DR,EL DORADO,95623,CA,3,2,1624,Residential,2008-05-19,289000,38.673285,-120.879176
26 JEANROSS CT,SACRAMENTO,95832,CA,5,3,2992,Residential,2008-05-19,295000,38.473162,-121.49108500000001
4800 MAPLEPLAIN AVE,ELK GROVE,95758,CA,4,2,2109,Residential,2008-05-19,296000,38.432848,-121.44923700000001
10629 BASIE WAY,RANCHO CORDOVA,95670,CA,4,2,1524,Residential,2008-05-19,296056,38.579,-121.292627
8612 WILLOW GROVE WAY,SACRAMENTO,95828,CA,3,2,1248,Residential,2008-05-19,297359,38.464994,-121.38696200000001
62 DE FER CIR,SACRAMENTO,95823,CA,4,2,1876,Residential,2008-05-19,299940,38.492540000000005,-121.46331599999999
2513 OLD KENMARE RD,LINCOLN,95648,CA,5,3,0,Residential,2008-05-19,304000,38.847396,-121.25958600000001
3253 ABOTO WAY,RANCHO CORDOVA,95670,CA,4,3,1851,Residential,2008-05-19,305000,38.57727,-121.285591
3072 VILLAGE PLAZA DR,ROSEVILLE,95747,CA,0,0,0,Residential,2008-05-19,307000,38.773094,-121.365905
251 CHANGO CIR,SACRAMENTO,95835,CA,4,2,2218,Residential,2008-05-19,311328,38.68237,-121.539147
8205 WEYBURN CT,SACRAMENTO,95828,CA,3,2,1394,Residential,2008-05-19,313138,38.47316,-121.403893
8788 LA MARGARITA WAY,SACRAMENTO,95828,CA,3,2,1410,Residential,2008-05-19,316630,38.468185,-121.375694
5912 DEEPDALE WAY,ELK GROVE,95758,CA,5,3,3468,Residential,2008-05-19,320000,38.439565,-121.43660600000001
4712 PISMO BEACH DR,ANTELOPE,95843,CA,5,3,2346,Residential,2008-05-19,320000,38.707705,-121.354153
4741 PACIFIC PARK DR,ANTELOPE,95843,CA,5,3,2347,Residential,2008-05-19,325000,38.709299,-121.35305600000001
310 GROTH CIR,SACRAMENTO,95834,CA,4,2,1659,Residential,2008-05-19,328578,38.638764,-121.531827
6121 WILD FOX CT,ELK GROVE,95757,CA,3,3,2442,Residential,2008-05-19,331000,38.406758,-121.431669
12241 CANYONLANDS DR,RANCHO CORDOVA,95742,CA,0,0,0,Residential,2008-05-19,331500,38.557293,-121.217611
29 COOL FOUNTAIN CT,SACRAMENTO,95833,CA,4,2,2155,Residential,2008-05-19,340000,38.606906,-121.54132
907 RIO ROBLES AVE,SACRAMENTO,95838,CA,0,0,0,Residential,2008-05-19,344755,38.664765,-121.445006
8909 BILLFISH WAY,SACRAMENTO,95828,CA,3,2,1810,Residential,2008-05-19,345746,38.475433,-121.372584
6232 GUS WAY,ELK GROVE,95757,CA,4,2,2789,Residential,2008-05-19,351000,38.388129,-121.43117
200 OAKWILDE ST,GALT,95632,CA,4,2,1606,Residential,2008-05-19,353767,38.2535,-121.31812
1033 PARK STREAM DR,GALT,95632,CA,0,0,0,Residential,2008-05-19,355000,38.287785,-121.28990300000001
200 ALLAIRE CIR,SACRAMENTO,95835,CA,4,2,2166,Residential,2008-05-19,356035,38.68318,-121.53483999999999
1322 SUTTER WALK,SACRAMENTO,95816,CA,0,0,0,Condo,2008-05-19,360000,38.53805,-121.5047
5479 NICKMAN WAY,SACRAMENTO,95835,CA,4,2,1871,Residential,2008-05-19,360552,38.672965999999995,-121.502748
2103 BURBERRY WAY,SACRAMENTO,95835,CA,3,2,1800,Residential,2008-05-19,362305,38.67342,-121.50854199999999
2450 SAN JOSE WAY,SACRAMENTO,95817,CA,3,1,1683,Residential,2008-05-19,365000,38.553596,-121.459483
7641 ROSEHALL DR,ROSEVILLE,95678,CA,3,2,0,Residential,2008-05-19,367554,38.791616999999995,-121.286147
1336 LAYSAN TEAL DR,ROSEVILLE,95747,CA,0,0,0,Residential,2008-05-19,368500,38.796121,-121.31996299999999
2802 BLACK OAK DR,ROCKLIN,95765,CA,2,2,1596,Residential,2008-05-19,370000,38.837006,-121.232024
2113 FALL TRAIL CT,PLACERVILLE,95667,CA,4,2,0,Residential,2008-05-19,371086,38.733155,-120.74803899999999
10112 LAMBEAU CT,ELK GROVE,95757,CA,3,2,1179,Residential,2008-05-19,378000,38.390328000000004,-121.448022
6313 CASTRO VERDE WAY,ELK GROVE,95757,CA,0,0,0,Residential,2008-05-19,383000,38.381102,-121.42901
3622 CURTIS DR,SACRAMENTO,95818,CA,3,1,1639,Residential,2008-05-19,388000,38.541734999999996,-121.480098
11817 OPAL RIDGE WAY,RANCHO CORDOVA,95742,CA,5,3,3281,Residential,2008-05-19,395100,38.551083,-121.237476
170 LAGOMARSINO WAY,SACRAMENTO,95819,CA,3,2,1697,Residential,2008-05-19,400000,38.574894,-121.435806
2743 DEAKIN PL,EL DORADO HILLS,95762,CA,3,2,0,Residential,2008-05-19,400000,38.69288,-121.073551
3361 ALDER CANYON WAY,ANTELOPE,95843,CA,4,3,2085,Residential,2008-05-19,408431,38.727649,-121.38565600000001
2148 RANCH VIEW DR,ROCKLIN,95765,CA,0,0,0,Residential,2008-05-19,413000,38.837455,-121.28933700000002
398 LINDLEY DR,SACRAMENTO,95815,CA,4,2,1744,Multi-Family,2008-05-19,416767,38.622359,-121.457582
3013 BRIDLEWOOD DR,EL DORADO HILLS,95762,CA,4,3,0,Residential,2008-05-19,420000,38.675519,-121.01586200000001
169 BAURER CIR,FOLSOM,95630,CA,4,3,1939,Residential,2008-05-19,423000,38.66695,-121.120729
2809 LOON CT,CAMERON PARK,95682,CA,4,2,0,Residential,2008-05-19,423000,38.687072,-121.004729
1315 KONDOS AVE,SACRAMENTO,95814,CA,2,3,1788,Residential,2008-05-19,427500,38.571943,-121.492106
4966 CHARTER RD,ROCKLIN,95765,CA,3,2,1691,Residential,2008-05-19,430922,38.82553,-121.254698
9516 LAGUNA LAKE WAY,ELK GROVE,95758,CA,4,2,2002,Residential,2008-05-19,445000,38.411258000000004,-121.431348
5201 BLOSSOM RANCH DR,ELK GROVE,95757,CA,4,4,4303,Residential,2008-05-19,450000,38.399436,-121.444041
3027 PALMATE WAY,SACRAMENTO,95834,CA,5,3,4246,Residential,2008-05-19,452000,38.628955,-121.529269
500 WINCHESTER CT,ROSEVILLE,95661,CA,3,2,2274,Residential,2008-05-19,470000,38.73988,-121.248929
5746 GELSTON WAY,EL DORADO HILLS,95762,CA,4,3,0,Residential,2008-05-19,471000,38.677015000000004,-121.03408300000001
6935 ELM TREE LN,ORANGEVALE,95662,CA,4,4,3056,Residential,2008-05-19,475000,38.693041,-121.23293999999999
9605 GOLF COURSE LN,ELK GROVE,95758,CA,3,3,2503,Residential,2008-05-19,484500,38.409689,-121.446059
719 BAYWOOD CT,EL DORADO HILLS,95762,CA,5,3,0,Residential,2008-05-19,487500,38.647597999999995,-121.07780100000001
5954 TANUS CIR,ROCKLIN,95677,CA,3,3,0,Residential,2008-05-19,488750,38.777584999999995,-121.2036
100 CHELSEA CT,FOLSOM,95630,CA,3,2,1905,Residential,2008-05-19,500000,38.69435,-121.177259
1500 ORANGE HILL LN,PENRYN,95663,CA,3,2,1320,Residential,2008-05-19,506688,38.862708000000005,-121.16209199999999
408 KIRKWOOD CT,LINCOLN,95648,CA,2,2,0,Residential,2008-05-19,512000,38.861615,-121.26868999999999
1732 TUSCAN GROVE CIR,ROSEVILLE,95747,CA,5,3,0,Residential,2008-05-19,520000,38.796683,-121.342555
2049 EMPIRE MINE CIR,GOLD RIVER,95670,CA,4,2,3037,Residential,2008-05-19,528000,38.629298999999996,-121.249021
9360 MAGOS RD,WILTON,95693,CA,5,2,3741,Residential,2008-05-19,579093,38.416809,-121.240628
104 CATLIN CT,FOLSOM,95630,CA,4,3,2660,Residential,2008-05-19,636000,38.684459000000004,-121.14593500000001
4734 GIBBONS DR,CARMICHAEL,95608,CA,4,3,3357,Residential,2008-05-19,668365,38.63558,-121.35363899999999
4629 DORCHESTER LN,GRANITE BAY,95746,CA,5,3,2896,Residential,2008-05-19,676200,38.723545,-121.216025
2400 COUNTRYSIDE DR,PLACERVILLE,95667,CA,3,2,2025,Residential,2008-05-19,677048,38.737452000000005,-120.910963
12901 FURLONG DR,WILTON,95693,CA,5,3,3788,Residential,2008-05-19,691659,38.413534999999996,-121.18821100000001
6222 CALLE MONTALVO CIR,GRANITE BAY,95746,CA,5,3,3670,Residential,2008-05-19,760000,38.779435,-121.146676
20 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.885327000000004,-121.28941200000001
24 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.885132,-121.289405
28 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.884935999999996,-121.289397
32 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.884741,-121.28939
36 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.884599,-121.289406
40 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.884535,-121.28961899999999
44 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.88459,-121.28983500000001
48 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.884667,-121.289896
52 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.88478,-121.289911
68 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.885236,-121.289928
72 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.88535,-121.289926
76 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.885464,-121.289922
80 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.885578,-121.289919
84 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.885692,-121.289915
88 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.885806,-121.289911
92 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.88592,-121.28990800000001
96 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.886024,-121.289859
100 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.886091,-121.289744
434 1ST ST,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.88653,-121.289406
3 E ST,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.884692,-121.29028799999999
11 E ST,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.884879,-121.29025700000001
19 E ST,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.885017,-121.29026200000001
27 E ST,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.885172999999995,-121.29026999999999
35 E ST,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.885328,-121.290275
43 E ST,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.885483,-121.290277
51 E ST,LINCOLN,95648,CA,4,2,0,Residential,2008-05-19,4897,38.885638,-121.290279
59 E ST,LINCOLN,95648,CA,3,2,0,Residential,2008-05-19,4897,38.885794,-121.29028100000001
75 E ST,LINCOLN,95648,CA,3,2,0,Residential,2008-05-19,4897,38.886103999999996,-121.29028500000001
63 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.885093,-121.28993200000001
398 1ST ST,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.88653,-121.288952
386 1ST ST,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.886528000000006,-121.28886899999999
374 1ST ST,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.886525,-121.28878700000001
116 CRYSTALWOOD WAY,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.886282,-121.28958600000001
108 CRYSTALWOOD WAY,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.886282,-121.28964599999999
100 CRYSTALWOOD WAY,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.886282,-121.28970600000001
55 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.884865000000005,-121.289922
51 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.884752,-121.289907
47 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.884638,-121.28989299999999
43 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.884568,-121.28978400000001
39 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.884546,-121.28956200000002
35 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.884645,-121.289397
31 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.88479,-121.28939199999999
27 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.884985,-121.289399
23 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.885181,-121.289406
19 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.885376,-121.289414
15 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.885571,-121.28942099999999
7 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.885962,-121.28943600000001
7 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.885962,-121.28943600000001
3 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,2008-05-19,4897,38.886093,-121.289584
8208 WOODYARD WAY,CITRUS HEIGHTS,95621,CA,3,2,1166,Residential,2008-05-16,30000,38.715322,-121.31478700000001
113 RINETTI WAY,RIO LINDA,95673,CA,0,0,0,Residential,2008-05-16,30000,38.687172,-121.46393300000001
15 LOORZ CT,SACRAMENTO,95823,CA,2,1,838,Residential,2008-05-16,55422,38.471646,-121.435158
5805 DOTMAR WAY,NORTH HIGHLANDS,95660,CA,2,1,904,Residential,2008-05-16,63000,38.672641999999996,-121.380343
2332 CAMBRIDGE ST,SACRAMENTO,95815,CA,2,1,1032,Residential,2008-05-16,65000,38.608084999999996,-121.449651
3812 BELDEN ST,SACRAMENTO,95838,CA,2,1,904,Residential,2008-05-16,65000,38.636833,-121.44163999999999
3348 40TH ST,SACRAMENTO,95817,CA,2,1,1080,Residential,2008-05-16,65000,38.544162,-121.460652
127 QUASAR CIR,SACRAMENTO,95822,CA,2,2,990,Residential,2008-05-16,66500,38.493503999999994,-121.47530400000001
3812 CYPRESS ST,SACRAMENTO,95838,CA,2,1,900,Residential,2008-05-16,71000,38.636877,-121.444948
5821 64TH ST,SACRAMENTO,95824,CA,2,1,861,Residential,2008-05-16,75000,38.521202,-121.428146
8248 CENTER PKWY,SACRAMENTO,95823,CA,2,1,906,Condo,2008-05-16,77000,38.459002000000005,-121.428794
1171 SONOMA AVE,SACRAMENTO,95815,CA,2,1,1011,Residential,2008-05-16,85000,38.6238,-121.439872
4250 ARDWELL WAY,SACRAMENTO,95823,CA,3,2,1089,Residential,2008-05-16,95625,38.466938,-121.45563100000001
3104 CLAY ST,SACRAMENTO,95815,CA,2,1,832,Residential,2008-05-16,96140,38.623909999999995,-121.43920800000001
6063 LAND PARK DR,SACRAMENTO,95822,CA,2,1,800,Condo,2008-05-16,104250,38.517029,-121.51380900000001
4738 OAKHOLLOW DR,SACRAMENTO,95842,CA,4,2,1292,Residential,2008-05-16,105000,38.679598,-121.356035
1401 STERLING ST,SACRAMENTO,95822,CA,2,1,810,Residential,2008-05-16,108000,38.520319,-121.504727
3715 DIDCOT CIR,SACRAMENTO,95838,CA,4,2,1064,Residential,2008-05-16,109000,38.635232,-121.460098
2426 RASHAWN DR,RANCHO CORDOVA,95670,CA,2,1,911,Residential,2008-05-16,115000,38.610852,-121.273278
4800 WESTLAKE PKWY Unit 410,SACRAMENTO,95835,CA,1,1,846,Condo,2008-05-16,115000,38.658812,-121.542345
3409 VIRGO ST,SACRAMENTO,95827,CA,3,2,1320,Residential,2008-05-16,115500,38.563402,-121.327747
1110 PINEDALE AVE,SACRAMENTO,95838,CA,3,2,1410,Residential,2008-05-16,115620,38.660173,-121.44021599999999
2361 LA LOMA DR,RANCHO CORDOVA,95670,CA,3,2,1115,Residential,2008-05-16,116000,38.59368,-121.31605400000001
1455 64TH AVE,SACRAMENTO,95822,CA,3,2,1169,Residential,2008-05-16,122000,38.492177000000005,-121.50339199999999
7328 SPRINGMAN ST,SACRAMENTO,95822,CA,3,2,1164,Residential,2008-05-16,122500,38.491991,-121.477636
119 SAINT MARIE CIR,SACRAMENTO,95823,CA,4,2,1341,Residential,2008-05-16,123000,38.481454,-121.44664399999999
12 COSTA BRASE CT,SACRAMENTO,95838,CA,3,2,1219,Residential,2008-05-16,124000,38.655553999999995,-121.464275
6813 SCOTER WAY,SACRAMENTO,95842,CA,4,2,1127,Residential,2008-05-16,124000,38.69043,-121.36103500000002
6548 GRAYLOCK LN,NORTH HIGHLANDS,95660,CA,3,2,1272,Residential,2008-05-16,124413,38.686060999999995,-121.369949
1630 GLIDDEN AVE,SACRAMENTO,95822,CA,4,2,1253,Residential,2008-05-16,125000,38.482717,-121.499683
7825 DALEWOODS WAY,SACRAMENTO,95828,CA,3,2,1120,Residential,2008-05-16,130000,38.477297,-121.41151299999999
4073 TRESLER AVE,NORTH HIGHLANDS,95660,CA,2,2,1118,Residential,2008-05-16,131750,38.659015999999994,-121.370457
4288 DYMIC WAY,SACRAMENTO,95838,CA,4,3,1890,Residential,2008-05-16,137721,38.646541,-121.44113899999999
1158 SAN IGNACIO WAY,SACRAMENTO,95833,CA,3,2,1260,Residential,2008-05-16,137760,38.623045,-121.48627900000001
4904 J PKWY,SACRAMENTO,95823,CA,3,2,1400,Residential,2008-05-16,138000,38.487297,-121.44295
2931 HOWE AVE,SACRAMENTO,95821,CA,3,1,1264,Residential,2008-05-16,140000,38.619012,-121.415329
5531 JANSEN DR,SACRAMENTO,95824,CA,3,1,1060,Residential,2008-05-16,145000,38.522015,-121.43871299999999
7836 ORCHARD WOODS CIR,SACRAMENTO,95828,CA,2,2,1132,Residential,2008-05-16,145000,38.47955,-121.410867
4055 DEERBROOK DR,SACRAMENTO,95823,CA,3,2,1466,Residential,2008-05-16,150000,38.472117,-121.459589
9937 BURLINE ST,SACRAMENTO,95827,CA,3,2,1092,Residential,2008-05-16,150000,38.559641,-121.32316000000002
6948 MIRADOR WAY,SACRAMENTO,95828,CA,4,2,1628,Residential,2008-05-16,151000,38.493484,-121.42035
4909 RUGER CT,SACRAMENTO,95842,CA,3,2,960,Residential,2008-05-16,155000,38.687470000000005,-121.34923400000001
7204 KERSTEN ST,CITRUS HEIGHTS,95621,CA,3,2,1075,Residential,2008-05-16,155800,38.695863,-121.30081399999999
3150 ROSEMONT DR,SACRAMENTO,95826,CA,3,2,1428,Residential,2008-05-16,156142,38.554927,-121.35521000000001
8200 STEINBECK WAY,SACRAMENTO,95828,CA,4,2,1358,Residential,2008-05-16,158000,38.474854,-121.404726
8198 STEVENSON AVE,SACRAMENTO,95828,CA,6,4,2475,Multi-Family,2008-05-16,159900,38.465271,-121.40426000000001
6824 OLIVE TREE WAY,CITRUS HEIGHTS,95610,CA,3,2,1410,Residential,2008-05-16,160000,38.689239,-121.26773700000001
3536 SUN MAIDEN WAY,ANTELOPE,95843,CA,3,2,1711,Residential,2008-05-16,161500,38.70968,-121.382328
4517 OLYMPIAD WAY,SACRAMENTO,95826,CA,4,2,1483,Residential,2008-05-16,161600,38.536751,-121.359154
925 COBDEN CT,GALT,95632,CA,3,2,1140,Residential,2008-05-16,162000,38.282047,-121.29581200000001
8225 SCOTTSDALE DR,SACRAMENTO,95828,CA,4,2,1549,Residential,2008-05-16,165000,38.487864,-121.40247600000001
8758 LEMAS RD,SACRAMENTO,95828,CA,3,2,1410,Residential,2008-05-16,165000,38.467487,-121.377055
6121 ALPINESPRING WAY,ELK GROVE,95758,CA,3,2,1240,Residential,2008-05-16,167293,38.434075,-121.43262299999999
5937 YORK GLEN WAY,SACRAMENTO,95842,CA,5,2,1712,Residential,2008-05-16,168000,38.677003000000006,-121.354454
6417 SUNNYFIELD WAY,SACRAMENTO,95823,CA,4,2,1580,Residential,2008-05-16,168000,38.449153,-121.42827199999999
4008 GREY LIVERY WAY,ANTELOPE,95843,CA,3,2,1669,Residential,2008-05-16,168750,38.71846,-121.37086200000002
8920 ROSETTA CIR,SACRAMENTO,95826,CA,3,1,1029,Residential,2008-05-16,168750,38.544374,-121.370874
8300 LICHEN DR,CITRUS HEIGHTS,95621,CA,3,1,1103,Residential,2008-05-16,170000,38.716409999999996,-121.30623899999999
8884 AMBERJACK WAY,SACRAMENTO,95828,CA,3,2,2161,Residential,2008-05-16,170250,38.479343,-121.372553
4480 VALLEY HI DR,SACRAMENTO,95823,CA,3,2,1650,Residential,2008-05-16,173000,38.466781,-121.45095500000001
2250 FOREBAY RD,POLLOCK PINES,95726,CA,3,1,1320,Residential,2008-05-16,175000,38.77491,-120.597599
3529 FABERGE WAY,SACRAMENTO,95826,CA,3,2,1200,Residential,2008-05-16,176095,38.553275,-121.346218
1792 DAWNELLE WAY,SACRAMENTO,95835,CA,3,2,1170,Residential,2008-05-16,176250,38.68271,-121.501697
7800 TABARE CT,CITRUS HEIGHTS,95621,CA,3,2,1199,Residential,2008-05-16,178000,38.70799,-121.30297900000001
8531 HERMITAGE WAY,SACRAMENTO,95823,CA,4,2,1695,Residential,2008-05-16,179000,38.448452,-121.42853600000001
2421 BERRYWOOD DR,RANCHO CORDOVA,95670,CA,3,2,1157,Residential,2008-05-16,180000,38.60868,-121.27848999999999
1005 MORENO WAY,SACRAMENTO,95838,CA,3,2,1410,Residential,2008-05-16,180000,38.646206,-121.44276699999999
1675 VERNON ST Unit 24,ROSEVILLE,95678,CA,3,2,1174,Residential,2008-05-16,180000,38.734136,-121.29963899999998
24 WINDCHIME CT,SACRAMENTO,95823,CA,3,2,1593,Residential,2008-05-16,181000,38.44617,-121.427824
540 HARLING CT,RIO LINDA,95673,CA,3,2,1093,Residential,2008-05-16,182000,38.682790000000004,-121.45350900000001
1207 CRESCENDO DR,ROSEVILLE,95678,CA,3,2,1770,Residential,2008-05-16,182587,38.72446,-121.292829
7577 EDDYLEE WAY,SACRAMENTO,95822,CA,4,2,1436,Residential,2008-05-16,185074,38.48291,-121.49150900000001
8369 FOPPIANO WAY,SACRAMENTO,95829,CA,3,2,1124,Residential,2008-05-16,185833,38.453839,-121.357919
8817 SAWTELLE WAY,SACRAMENTO,95826,CA,4,2,1139,Residential,2008-05-16,186785,38.565321999999995,-121.374251
1910 BONAVISTA WAY,SACRAMENTO,95832,CA,3,2,1638,Residential,2008-05-16,187000,38.476048,-121.494961
8 TIDE CT,SACRAMENTO,95833,CA,3,2,1328,Residential,2008-05-16,188335,38.609864,-121.492304
8952 ROCKY CREEK CT,ELK GROVE,95758,CA,3,2,1273,Residential,2008-05-16,190000,38.431239,-121.44001000000002
